demand_quintile,morphology_quintile,cells,population,pw_pet_medical_1km,pw_matched_supply_rate,latent_no_supply_population
Q1_low,M1_low,1582,13948.941076236288,0.0,0.0,13948.941076236288
Q1_low,M2,631,10090.322712121697,0.0,0.0,10090.322712121697
Q1_low,M3,226,4844.458443825238,0.0,0.0,4844.458443825238
Q1_low,M4,9,236.7506249649564,0.0,0.0,236.7506249649564
Q2,M1_low,741,36526.45391957945,0.0,0.0,36526.45391957945
Q2,M2,960,104631.71132665598,0.0026053085652385,0.0026053085652385,104359.11343294109
Q2,M3,609,113815.0865726867,0.0062640594239841,0.0062640594239841,113102.1421070495
Q2,M4,136,52764.57077586651,0.0354451482143322,0.0354451482143322,50894.3227442503
Q2,M5_high,1,419.6835021972656,0.0,0.0,419.6835021972656
Q3,M1_low,112,9736.545201034023,0.0,0.0,9736.545201034023
Q3,M2,660,156675.19828896344,0.0040810559926204,0.0040810559926204,156035.79803209126
Q3,M3,901,399652.0527632616,0.010691378221402,0.010691378221402,395379.2215102098
Q3,M4,722,551884.3130123625,0.0235229083558879,0.015515283795899,543321.6712734709
Q3,M5_high,52,68782.39311027527,0.0298149852016196,0.0298149852016196,66731.64707756042
Q4,M1_low,13,2796.9922970086336,0.0,0.0,2796.9922970086336
Q4,M2,194,74252.33771941072,0.0138378751034512,0.0046126250344837,73909.83952757722
Q4,M3,671,520220.13157489896,0.03724326246633,0.0295572275825938,504843.86675289273
Q4,M4,1224,1595589.1777482033,0.0613471542074455,0.044655697621735,1524337.029898167
Q4,M5_high,345,774171.1661109924,0.060383883887422,0.0436763730542468,740358.1774520874
Q5_high,M2,2,935.7059631347656,0.0,0.0,935.7059631347656
Q5_high,M3,40,57344.9535484314,0.0756409302795293,0.0756409302795293,53007.32791519165
Q5_high,M4,356,858914.667087853,0.3418665646185883,0.2014018053090854,685927.7025299072
Q5_high,M5_high,2049,16733429.7911129,2.494302854887202,0.6766095340246041,5411431.657514572
