demand_quintile,morphology_quintile,cells,population,pw_matched_supply_rate,pw_pet_medical_1km,latent_no_supply_population
Q1_low,M1_low,1568,14078.538819307663,0.0,0.0,14078.538819307663
Q1_low,M2,649,10114.615741376449,0.0,0.0,10114.615741376449
Q1_low,M3,223,4807.8802863870615,0.0,0.0,4807.8802863870615
Q1_low,M4,8,259.92544941139613,0.0,0.0,259.92544941139613
Q2,M1_low,736,35450.01007190607,0.0,0.0,35450.01007190607
Q2,M2,949,106106.37870959744,0.0025690999639237,0.0025690999639237,105833.78081588252
Q2,M3,616,113597.4581818977,0.0062760600197198,0.0062760600197198,112884.5137162605
Q2,M4,145,57828.62177991867,0.0323412174465078,0.0323412174465078,55958.37374830246
Q2,M5_high,1,419.6835021972656,0.0,0.0,419.6835021972656
Q3,M1_low,129,12781.6449280066,0.0,0.0,12781.6449280066
Q3,M2,643,162128.45235522592,0.0057135807426352,0.0057135807426352,161202.11835201585
Q3,M3,864,385916.77540484985,0.0103283862240308,0.0103283862240308,381930.877898136
Q3,M4,745,590413.9498543739,0.0131830161400637,0.0206680736666354,582630.5132241249
Q3,M5_high,66,91436.42846107484,0.0382378179963964,0.0382378179963964,87940.09895133972
Q4,M1_low,15,1499.0220993310213,0.0,0.0,1499.0220993310213
Q4,M2,204,80323.98211523896,0.0042639593159378,0.0127918779478134,79981.48392340547
Q4,M3,697,531518.1418478787,0.0306719937425959,0.0381946533918141,515215.42072704434
Q4,M4,1186,1551628.7882723808,0.0491986953515564,0.0675726541627925,1475290.676219463
Q4,M5_high,345,777807.3428621292,0.0396712725449946,0.0538876685317062,746950.7357759476
Q5_high,M2,2,935.7059631347656,0.0,0.0,935.7059631347656
Q5_high,M3,47,72976.53131103516,0.1091535955000864,0.1091535955000864,65010.88053131104
Q5_high,M4,363,827741.771320641,0.1920937313551466,0.3265063502423282,668737.7658691406
Q5_high,M5_high,2035,16711891.755155563,0.6778784123446755,2.498476122940623,5383261.104894638
